SiteID,GridID,Lat,Long,Depth,Year_Start,Year_End,Years,GearRegRank,CoralStart,CoralEnd,Coral_Change,Trajectory,Turf_Change,Macro_Change,CCA_Change,total_biomass,herbivores,browsers,grazers,scrapers,HPop15km,OSDS_Eff,OSDS_N,Golf_N,Imperv,Sediment,RainAnnSum,RainMax3dS,WPow975pct,SST_MEAN,SST_STD,CHL_CLIM_M,Nuts
1,149,20.16001,-155.9001833,11,2003,2014,11,2,19.5,12.9,-6.6,Negative,5,0.3,-0.8,72.67,14.96,1.95,9.29,1.51,5484.8,703.7,0.1,0,636.9,2255.2,38923.9,4847.2,21.3,26.51,0.3,0.064300001,0.1
2,243,20.0810167,-155.86804,11,2003,2014,11,6,49.2,35,-14.2,Negative,19.5,-1.3,0.3,54.77,20.73,2.64,8.42,6.72,3309.2,64163.2,4.9,0,12579.5,3412.5,44401.5,6940.4,18.9,26.57,0.33,0.086300001,4.9
3,251,20.0739167,-155.86449,14,2003,2014,11,5,53.9,43.1,-10.8,Negative,10.8,-1,6,69.42,17.86,0.99,6,7.71,3844.1,185297.8,14.1,0,14404.6,7909.3,59923.6,8860.4,22.2,26.57,0.33,0.086300001,14.1
4,393,19.9698833,-155.84877,10,2003,2014,11,4,49,32.2,-16.8,Negative,16.5,0,6.8,159.82,56.32,1.22,NaN,8.62,8897.8,252400.9,17.4,35.4,27852.8,146.3,107234.7,NaN,36,26.61,0.33,0.090099998,52.8
5,420,19.95275,-155.8661667,10,2003,2014,11,5,40.3,24.1,-16.2,Negative,16.3,0,6.1,76.36,44.38,0.78,15.19,7.54,8073.7,39821.7,2.8,38.9,8458.4,0,17437.1,4166,31,26.61,0.33,0.090099998,41.7
6,503,19.8911167,-155.9100667,14,2003,2014,11,6,29.7,17.5,-12.2,Negative,18.5,-0.5,-0.4,55.73,11.11,0.56,3.51,5.89,7112.2,5408.3,0.5,6.7,2541.7,704,53387.4,11373.8,26.2,26.64,0.33,0.088799998,7.2
7,605,19.84395,-155.98093,12,2003,2014,11,5,40.7,27,-13.7,Negative,18.8,0,1.1,75.74,29.51,2.47,12.04,11.03,8615.1,19839.7,1.7,8.2,1337.8,109.3,17676.5,3541,46.3,26.65,0.33,0.091600001,9.9
8,677,19.7965,-156.02786,10,2003,2014,11,6,44.9,46.1,1.2,NoChange,1.5,0,-1.3,76.47,25.69,1.85,10.34,11.44,13724,0,0,0,322.4,11.6,7816.9,1693.7,46.2,26.66,0.33,0.086099997,0
9,784,19.70887,-156.04951,10,2003,2014,11,6,33.3,51.3,18,Positive,-10.7,0,-0.6,50.11,18.43,3.37,11.16,2.8,28544.1,45.3,0,4.6,9181.9,162.2,17855.9,3102.2,29.3,26.68,0.31,0.073299997,4.6
10,792,19.7,-156.04993,14,2003,2014,11,5,37.2,42,4.8,Positive,0.2,0.2,2,101.2,30.64,8.11,9.08,10.32,29773.2,178.7,0,5.8,1961.3,0.1,7379,1350,48.6,26.68,0.31,0.073299997,5.8
11,831,19.6709833,-156.0303333,12,2003,2014,11,5,48.3,53.2,4.9,Positive,6.5,0.8,-2.3,113.76,13.73,1.55,4.21,3.54,32769.1,50327.1,3.6,0,17067.3,3327.7,82338.7,10871.4,23.9,26.68,0.31,0.061700001,3.6
